Real Madrid, La Liga (Spagna)
Servette FC, Super League (Svizzera)
New York Red Bulls, MLS (Stati Uniti)
Belgrano de Cordoba, Primera Division (Argentina)
Brondby IF, Superligaen (Danimarca)
Rosenborg BK, Eliteserien (Norvegia)
AZ Alkmaar, Eredivisie (Paesi Bassi)
New York City FC, MLS (Stati Uniti)
Alverca, Liga Portugal 2 (Portogallo)
Royal Antwerp FC, Pro League (Belgio)
SD Huesca, Segunda Division (Spagna)
Ferencvarosi Torna Club, NB I (Ungheria)
FC Red Bull Salzburg, Bundesliga (Austria)
Columbus Crew, MLS (Stati Uniti)
Toulouse FC, Ligue 1 (Francia)
Livingston FC, Premiership (Scozia)
Genclerbirligi SK, TFF 1. Lig (Turchia)
Chicago Fire, MLS (Stati Uniti)
Chengdu Rongcheng, Super League (Cina)
Norwich City, Championship (Inghilterra)
Djurgardens IF, Allsvenskan (Svezia)
FC Arouca, Primeira Liga (Portogallo)
FC Midtjylland, Superligaen (Danimarca)
CA Osasuna, La Liga (Spagna)
UD Las Palmas, La Liga (Spagna)
Houston Dynamo, MLS (Stati Uniti)
BK Hacken, Allsvenskan (Svezia)
Eyupspor, Super Lig (Turchia)
Sudtirol, Serie B (Italia)
AIK, Allsvenskan (Svezia)
FC Nantes, Ligue 1 (Francia)
Pohang Steelers, K League 1 (Corea del Sud)
Penarol, Primera Division (Uruguay)
America de Cali, Primera A (Colombia)
Rakow Czestochowa, Ekstraklasa (Polonia)
Standard de Liege, Pro League (Belgio)
Elche CF, Segunda Division (Spagna)
SK Brann, Eliteserien (Norvegia)
Birmingham City, League One (Inghilterra)
Atlanta United, MLS (Stati Uniti)
Al Hazem FC, Saudi Pro League (Arabia Saudita)
FC Lugano, Super League (Svizzera)
Melbourne City FC, A-League (Australia)
Stoke City, Championship (Inghilterra)
Cesena FC, Serie B (Italia)
Argentinos Juniors, Primera Division (Argentina)
Southampton, Premier League (Inghilterra)
Godoy Cruz, Primera Division (Argentina)
KAA Gent, Pro League (Belgio)
Portland Timbers, MLS (Stati Uniti)
Union Saint-Gilloise, Pro League (Belgio)
Sporting Cristal, Liga 1 (Peru)
LASK Linz, Bundesliga (Austria)
Dinamo Zagreb, HNL (Croazia)
Real Zaragoza, Segunda Division (Spagna)
Venezia, Serie A (Italia)
CD Leganes, La Liga (Spagna)
Toronto FC, MLS (Canada)
Jeju United FC, K League 1 (Corea del Sud)
Leicester City, Premier League (Inghilterra)
Colorado Rapids, MLS (Stati Uniti)
FC Kaiserslautern, 2. Bundesliga (Germania)
Sao Paulo, Serie A (Brasile)
Libertad, Primera Division (Paraguay)
Universidad de Chile, Primera Division (Cile)
Universitatea Cluj, Liga I (Romania)
FC Metz, Ligue 1 (Francia)
Cremonese, Serie B (Italia)
Spezia, Serie B (Italia)
Talleres, Primera Division (Argentina)
FC St.Gallen 1879, Super League (Svizzera)
Grenoble Foot 38, Ligue 2 (Francia)
Kayserispor, Super Lig (Turchia)
West Bromwich Albion, Championship (Inghilterra)
San Diego FC, MLS (Stati Uniti)
Burgos CF, Segunda Division (Spagna)
Fatih Karagumruk, Super Lig (Turchia)
Changchun Yatai, Super League (Cina)
SK Sturm Graz, Bundesliga (Austria)
Minnesota United FC, MLS (Stati Uniti)
Watford, Championship (Inghilterra)
BSC Young Boys, Super League (Svizzera)
Millwall FC, Championship (Inghilterra)
Bahia, Serie A (Brasile)
KV Mechelen, Pro League (Belgio)
Blackpool FC, League One (Inghilterra)
Bristol City, Championship (Inghilterra)
Aberdeen, Premiership (Scozia)
Flamengo, Serie A (Brasile)
Gornik Zabrze, Ekstraklasa (Polonia)
Universitatea Craiova, Liga I (Romania)
Hull City, Championship (Inghilterra)
FC Schalke 04, 2. Bundesliga (Germania)
IFK Norrkoping, Allsvenskan (Svezia)
Oxford United, Championship (Inghilterra)
Cruzeiro, Serie A (Brasile)
Cracovia, Ekstraklasa (Polonia)
Preston North End, Championship (Inghilterra)
LDU Quito, Serie A (Ecuador)
Al Khaleej, Saudi Pro League (Arabia Saudita)
Damac FC, Saudi Pro League (Arabia Saudita)
Orlando City SC, MLS (Stati Uniti)
SC Paderborn 07, 2. Bundesliga (Germania)
Tianjin Jinmen Tiger, Super League (Cina)
Alianza Lima, Liga 1 (Peru)
Randers FC, Superligaen (Danimarca)
Vitoria SC, Primeira Liga (Portogallo)
Charlotte FC, MLS (Stati Uniti)
Club Nacional de Football, Primera Division (Uruguay)
Viktoria Plzen, Fortuna Liga (Repubblica Ceca)
Go Ahead Eagles, Eredivisie (Paesi Bassi)
Hertha BSC, 2. Bundesliga (Germania)
FK Austria Wien, Bundesliga (Austria)
Kasimpasa SK, Super Lig (Turchia)
FBC Melgar, Liga 1 (Peru)
Catanzaro, Serie B (Italia)
FC Twente, Eredivisie (Paesi Bassi)
Al Akhdoud Saudi Club, Saudi Pro League (Arabia Saudita)
Cambridge United, League One (Inghilterra)
Santa Clara, Primeira Liga (Portogallo)
Wuhan Three Towns, Super League (Cina)
Legia Warszawa, Ekstraklasa (Polonia)
Portsmouth, Championship (Inghilterra)
Moreirense FC, Primeira Liga (Portogallo)
Kocaelispor, TFF 1. Lig (Turchia)
En Avant Guingamp, Ligue 2 (Francia)
Universitario de Deportes, Liga 1 (Peru)
Hibernian, Premiership (Scozia)
Real Sporting de Gijon, Segunda Division (Spagna)
Padova, Serie C (Italia)
Huracan, Primera Division (Argentina)
Club Atletico Union, Primera Division (Argentina)
Silkeborg IF, Superligaen (Danimarca)
Carrarese, Serie B (Italia)
SpVgg Greuther Furth, 2. Bundesliga (Germania)
Reading FC, League One (Inghilterra)
Zhejiang FC, Super League (Cina)
SD Eibar, Segunda Division (Spagna)
Luton Town, Championship (Inghilterra)
Al Kholood, Saudi Pro League (Arabia Saudita)
SSC Bari, Serie B (Italia)
RC Deportivo de La Coruna, Primera Federacion (Spagna)
Queens Park Rangers, Championship (Inghilterra)
Instituto Atletico Central Cordoba, Primera Division (Argentina)
Wycombe Wanderers, League One (Inghilterra)
Casa Pia, Primeira Liga (Portogallo)
Deportivo Tachira, Primera Division (Venezuela)
Club Atletico Sarmiento, Primera Division (Argentina)
Cadiz CF, Segunda Division (Spagna)
Shanghai Shenhua, Super League (Cina)
Charlton Athletic, League One (Inghilterra)
Qingdao West Coast FC, Super League (Cina)
Pogon Szczecin, Ekstraklasa (Polonia)
FCV Dender EH, Pro League (Belgio)
Philadelphia Union, MLS (Stati Uniti)
APOEL FC, First Division (Cipro)
Aarhus Gymnastikforening, Superligaen (Danimarca)
Alanyaspor, Super Lig (Turchia)
Real Valladolid CF, La Liga (Spagna)
New England Revolution, MLS (Stati Uniti)
IF Elfsborg, Allsvenskan (Svezia)
Independiente Rivadavia, Primera Division (Argentina)
Henan FC, Super League (Cina)
Fortuna Sittard, Eredivisie (Paesi Bassi)
Wrexham, League One (Inghilterra)
Sporting Kansas City, MLS (Stati Uniti)
Al Fayha, Saudi Pro League (Arabia Saudita)
Sint-Truidense VV, Pro League (Belgio)
Universidad Catolica, Primera Division (Cile)
Molde FK, Eliteserien (Norvegia)
GD Estoril Praia, Primeira Liga (Portogallo)
Qingdao Hainiu FC, Super League (Cina)
Dinamo Bucuresti, Liga I (Romania)
Sheffield Wednesday, Championship (Inghilterra)
Hammarby Fotboll, Allsvenskan (Svezia)
Rio Ave FC, Primeira Liga (Portogallo)
San Jose Earthquakes, MLS (Stati Uniti)
Lecce, Serie A (Italia)
NEC Nijmegen, Eredivisie (Paesi Bassi)
Swansea City, Championship (Inghilterra)
Derby County, Championship (Inghilterra)
Atletico Bucaramanga, Primera A (Colombia)
Atletico Tucuman, Primera Division (Argentina)
Yunnan Yukun, League One (Cina)
Blackburn Rovers, Championship (Inghilterra)
Sydney FC, A-League (Australia)
Modena, Serie B (Italia)
SK Rapid, Bundesliga (Austria)
HJK Helsinki, Veikkausliiga (Finlandia)
Le Havre AC, Ligue 1 (Francia)
Amiens SC, Ligue 2 (Francia)
Antalyaspor, Super Lig (Turchia)
Gil Vicente FC, Primeira Liga (Portogallo)
Motor Lublin, Ekstraklasa (Polonia)
Shandong Taishan, Super League (Cina)
Mjallby AIF, Allsvenskan (Svezia)
Albacete Balompie, Segunda Division (Spagna)
Clermont Foot 63, Ligue 1 (Francia)
Deportivo Alaves, La Liga (Spagna)
Valerenga Fotball, OBOS-ligaen (Norvegia)
Daegu FC, K League 1 (Corea del Sud)
FC Thun, Challenge League (Svizzera)
CA Aldosivi, Primera Nacional (Argentina)
Macarthur FC, A-League (Australia)
SV Ried, 2. Liga (Austria)
Cerro Porteno, Primera Division (Paraguay)
Once Caldas, Primera A (Colombia)
Pau FC, Ligue 2 (Francia)
Austin FC, MLS (Stati Uniti)
Fortaleza, Serie A (Brasile)
Bolivar, Division Profesional (Bolivia)
Shenzhen Peng City, Super League (Cina)
Eintracht Braunschweig, 2. Bundesliga (Germania)
Rapid Bucuresti, Liga I (Romania)
Cercle Brugge KSV, Pro League (Belgio)
Central Cordoba SdE, Primera Division (Argentina)
Racing Santander, Segunda Division (Spagna)
Barracas Central, Primera Division (Argentina)
Shanghai Port, Super League (Cina)
Bolton Wanderers, League One (Inghilterra)
SC Preussen Munster, 2. Bundesliga (Germania)
FC Lorient, Ligue 1 (Francia)
FC Nordsjaelland, Superligaen (Danimarca)
Lech Poznan, Ekstraklasa (Polonia)
Qarabag FK, Premyer Liqasi (Azerbaigian)
NAC Breda, Eredivisie (Paesi Bassi)
DSC Arminia Bielefeld, 3. Liga (Germania)
FC Sion, Challenge League (Svizzera)
Auckland FC, A-League (Nuova Zelanda)
KVC Westerlo, Pro League (Belgio)
Goztepe SK, Super Lig (Turchia)
TSV 1860 Munchen, 3. Liga (Germania)
Ulsan HD FC, K League 1 (Corea del Sud)
Reggiana, Serie B (Italia)
Sporting Club Bastia, Ligue 2 (Francia)
Royal Charleroi Sporting Club, Pro League (Belgio)
Al-Najma SC, Bahraini Premier League (Bahrein)
CD Castellon, Segunda Division (Spagna)
AJ Auxerre, Ligue 1 (Francia)
EAttaccanteAC Troyes, Ligue 2 (Francia)
Jagiellonia Bialystok, Ekstraklasa (Polonia)
Angers SCO, Ligue 1 (Francia)
AS Nancy Lorraine, National (Francia)
Tigre, Primera Division (Argentina)
Brisbane Roar, A-League (Australia)
Rot-Weiss Essen, 3. Liga (Germania)
Huddersfield Town, Championship (Inghilterra)
NorthEast United, Indian Super League (India)
Hannover 96, 2. Bundesliga (Germania)
Western Sydney Wanderers, A-League (Australia)
Odense Boldklub, Superligaen (Danimarca)
Vejle Boldklub, Superligaen (Danimarca)
St. Mirren, Premiership (Scozia)
Independiente del Valle, Serie A (Ecuador)
Mohammedan SC, Indian Super League (India)
Mushuc Runa, Serie A (Ecuador)
Avellino, Serie C (Italia)
Cardiff City, Championship (Inghilterra)
Barcelona de Guayaquil, Serie A (Ecuador)
WSG Tirol, Bundesliga (Austria)
Hearts, Premiership (Scozia)
Club Atletico San Martin, Primera Nacional (Argentina)
Sarpsborg 08 FF, Eliteserien (Norvegia)
Rotherham United, League One (Inghilterra)
Stromsgodset IF, Eliteserien (Norvegia)
Milton Keynes Dons, League Two (Inghilterra)
Empoli, Serie A (Italia)
Wisla Plock, I Liga (Polonia)
FC Dallas, MLS (Stati Uniti)
Bengaluru FC, Indian Super League (India)
AS Saint-Etienne, Ligue 1 (Francia)
DC United, MLS (Stati Uniti)
Shakhtar Donetsk, Premier League (Ucraina)
Universidad Catolica del Ecuador, Serie A (Ecuador)
IFK Varnamo, Allsvenskan (Svezia)
Stade Lavallois Mayenne FC, Ligue 2 (Francia)
Exeter City, League One (Inghilterra)
CFR Cluj, Liga I (Romania)
Academia Puerto Cabello, Primera Division (Venezuela)
San Lorenzo de Almagro, Primera Division (Argentina)
FC Lausanne-Sport, Super League (Svizzera)
Barnsley, League One (Inghilterra)
FC Luzern, Super League (Svizzera)
Asociatia Clubul Sportiv Petrolul 52, Liga I (Romania)
Estrela da Amadora, Primeira Liga (Portogallo)
Korona Kielce, Ekstraklasa (Polonia)
FCV Farul Constanta, Liga I (Romania)
Bradford City, League Two (Inghilterra)
Plymouth Argyle, Championship (Inghilterra)
SV Elversberg, 2. Bundesliga (Germania)
Notts County, League Two (Inghilterra)
Grimsby Town, League Two (Inghilterra)
CD Nacional, Liga Portugal 2 (Portogallo)
Stockport County, League One (Inghilterra)
SC Heerenveen, Eredivisie (Paesi Bassi)
St Patrick's Athletic FC, Premier Division (Irlanda)
Lincoln City, League One (Inghilterra)
IFK Goteborg, Allsvenskan (Svezia)
FC Anyang, K League 2 (Corea del Sud)
FC Nurnberg, 2. Bundesliga (Germania)
FC Magdeburg, 2. Bundesliga (Germania)
Dundee United FC, Premiership (Scozia)
FC Winterthur, Super League (Svizzera)
PEC Zwolle, Eredivisie (Paesi Bassi)
Fortuna Dusseldorf, 2. Bundesliga (Germania)
Leyton Orient, League One (Inghilterra)
SC Rheindorf Altach, Bundesliga (Austria)
FC Botosani, Liga I (Romania)
Wolfsberger AC, Bundesliga (Austria)
Cordoba CF, Primera Federacion (Spagna)
Gillingham, League Two (Inghilterra)
AVS Futebol SAD, Primeira Liga (Portogallo)
Kilmarnock, Premiership (Scozia)
Widzew Lodz, Ekstraklasa (Polonia)
Northampton Town, League One (Inghilterra)
CD Mirandes, Segunda Division (Spagna)
Boston River, Primera Division (Uruguay)
Mantova, Serie B (Italia)
Port Vale, League Two (Inghilterra)
Walsall, League Two (Inghilterra)
FC Arges, Liga II (Romania)
UTA Arad, Liga I (Romania)
Radomiak Radom, Ekstraklasa (Polonia)
Heracles Almelo, Eredivisie (Paesi Bassi)
Zaglebie Lubin, Ekstraklasa (Polonia)
AD Ceuta FC, Primera Federacion (Spagna)
Wellington Phoenix, A-League (Nuova Zelanda)
Piast Gliwice, Ekstraklasa (Polonia)
CD Palestino, Primera Division (Cile)
Virtus Entella, Serie C (Italia)
FC Goa, Indian Super League (India)
FC Saarbrucken, 3. Liga (Germania)
TSV Hartberg, Bundesliga (Austria)
SV Darmstadt 98, 2. Bundesliga (Germania)
RAAL La Louviere, Challenger Pro League (Belgio)
Mumbai City FC, Indian Super League (India)
GKS Katowice, Ekstraklasa (Polonia)
Cerro Largo, Primera Division (Uruguay)
Falkirk, Championship (Scozia)
SS Juve Stabia, Serie C (Italia)
SV Wehen Wiesbaden, 3. Liga (Germania)
Blau-Weiss Linz, Bundesliga (Austria)
USL Dunkerque, Ligue 2 (Francia)
CA Banfield, Primera Division (Argentina)
Viborg FF, Superligaen (Danimarca)
Shrewsbury Town, League One (Inghilterra)
FC Hermannstadt, Liga I (Romania)
Pescara, Serie C (Italia)
Gualberto Villarroel SJ, Primera Division (Bolivia)
Cultural Leonesa, Primera Federacion (Spagna)
Deportes Iquique, Primera Division (Cile)
Red Star FC, Ligue 2 (Francia)
Union Espanola, Primera Division (Cile)
FC Hansa Rostock, 2. Bundesliga (Germania)
SSV Jahn Regensburg, 2. Bundesliga (Germania)
Frosinone, Serie A (Italia)
SV Zulte Waregem, Challenger Pro League (Belgio)
Dundee FC, Premiership (Scozia)
Perth Glory, A-League (Australia)
Hamarkameratene, Eliteserien (Norvegia)
FC Annecy, Ligue 2 (Francia)
Malaga CF, Segunda Division (Spagna)
SV Waldhof Mannheim, 3. Liga (Germania)
Bruk-Bet Termalica Nieciecza, I Liga (Polonia)
Alemannia Aachen, 3. Liga (Germania)
Peterborough United, League One (Inghilterra)
SSV Ulm 1846, 2. Bundesliga (Germania)
FC Schweinfurt 05, Regionalliga (Germania)
VfL Osnabruck, 3. Liga (Germania)
Stevenage, League One (Inghilterra)
FC Groningen, Eredivisie (Paesi Bassi)
Excelsior, Eredivisie (Paesi Bassi)
Lechia Gdansk, Ekstraklasa (Polonia)
Carabobo FC, Primera Division (Venezuela)
Mansfield Town, League One (Inghilterra)
Caracas FC, Primera Division (Venezuela)
Salford City, League Two (Inghilterra)
Dalian Yingbo, League One (Cina)
Fredrikstad FK, Eliteserien (Norvegia)
Atletico Grau, Primera Division (Peru)
Cienciano, Primera Division (Peru)
Crawley Town, League One (Inghilterra)
TSV Havelse, Regionalliga (Germania)
Gwangju FC, K League 1 (Corea del Sud)
Jeonbuk Hyundai Motors, K League 1 (Corea del Sud)
Telstar, Eerste Divisie (Paesi Bassi)
Motherwell FC, Premiership (Scozia)
Rodez Aveyron Football, Ligue 2 (Francia)
MSV Duisburg, Regionalliga (Germania)
FC Volendam, Eredivisie (Paesi Bassi)
Melbourne Victory, A-League (Australia)
Oldham Athletic, National League (Inghilterra)
Guarani, Serie B (Brasile)
PortiereS Katowice, I Liga (Polonia)
CD Tondela, Liga Portugal 2 (Portogallo)
IK Sirius, Allsvenskan (Svezia)
IF Brommapojkarna, Allsvenskan (Svezia)
FC Energie Cottbus, 3. Liga (Germania)
Mohun Bagan Super Giant, Indian Super League (India)
Dynamo Dresden, 3. Liga (Germania)
Central Coast Mariners, A-League (Australia)
Racing Club de Montevideo, Primera Division (Uruguay)
Le Mans FC, National (Francia)
FC Ingolstadt 04, 3. Liga (Germania)
SC Verl, 3. Liga (Germania)
Suwon FC, K League 1 (Corea del Sud)
Colchester United, League Two (Inghilterra)
Wigan Athletic, League One (Inghilterra)
GAIS, Allsvenskan (Svezia)
Bromley, League Two (Inghilterra)
CF Montreal, MLS (Canada)
AFC Wimbledon, League Two (Inghilterra)
Metaloglobus Bucuresti, Liga II (Romania)
FC Andorra, Segunda Division (Spagna)
Swindon Town, League Two (Inghilterra)
San Antonio Bulo Bulo, Primera Division (Bolivia)
Arka Gdynia, I Liga (Polonia)
Tromso IL, Eliteserien (Norvegia)
Newport County, League Two (Inghilterra)
Viktoria Koln, 3. Liga (Germania)
Cheltenham Town, League Two (Inghilterra)
Barnet, National League (Inghilterra)
Newcastle Jets, A-League (Australia)
Bohemian FC, Premier Division (Irlanda)
Daejeon Citizen, K League 1 (Corea del Sud)
FC Erzgebirge Aue, 3. Liga (Germania)
Harrogate Town, League Two (Inghilterra)
Deportivo Riestra, Primera Division (Argentina)
Unirea Slobozia, Liga I (Romania)
Degerfors IF, Allsvenskan (Svezia)
Otelul Galati, Liga I (Romania)
Sonderjyske Fodbold, Superligaen (Danimarca)
Western United, A-League (Australia)
Nacional Potosi, Primera Division (Bolivia)
Derry City, Premier Division (Irlanda)
Fleetwood Town, League Two (Inghilterra)
Dynamo Kyiv, Premier League (Ucraina)
Sandefjord Fotball, Eliteserien (Norvegia)
Doncaster Rovers, League Two (Inghilterra)
East Bengal FC, Indian Super League (India)
Kristiansund BK, Eliteserien (Norvegia)
Sportivo Luqueno, Primera Division (Paraguay)
Chesterfield, League Two (Inghilterra)
Tranmere Rovers, League Two (Inghilterra)
Fredericia, Superligaen (Danimarca)
Real Sociedad de Futbol B, Primera Federacion (Spagna)
Kerala Blasters FC, Indian Super League (India)
KFUM-Kameratene Oslo, Eliteserien (Norvegia)
Barrow, League Two (Inghilterra)
Shamrock Rovers, Premier Division (Irlanda)
Grazer AK 1902, 2. Liga (Austria)
Burton Albion, League One (Inghilterra)
FK Haugesund, Eliteserien (Norvegia)
Shelbourne FC, Premier Division (Irlanda)
Bristol Rovers, League One (Inghilterra)
Crewe Alexandra, League Two (Inghilterra)
Gimcheon Sangmu FC, K League 1 (Corea del Sud)
Csikszereda Miercurea Ciuc, Liga II (Romania)
Grasshopper Club Zurich, Super League (Svizzera)
Accrington Stanley, League Two (Inghilterra)
Halmstads BK, Allsvenskan (Svezia)
Bryne FK, Eliteserien (Norvegia)
Osters IF, Allsvenskan (Svezia)
United Tigers SC, Bhutan Premier League (Bhutan)
VfB Stuttgart II, Regionalliga (Germania)
Drogheda United, Premier Division (Irlanda)
Meizhou Hakka, Super League (Cina)
Waterford FC, Premier Division (Irlanda)
Chennaiyin FC, Indian Super League (India)
Cork City, Premier Division (Irlanda)
Hyderabad FC, Indian Super League (India)
Sligo Rovers, Premier Division (Irlanda)
Galway United, Premier Division (Irlanda)
TSG 1899 Hoffenheim II, Regionalliga (Germania)
US Boulogne Cote d'Opale, National (Francia)
Jamshedpur FC, Indian Super League (India)
Gangwon FC, K League 1 (Corea del Sud)
Odisha FC, Indian Super League (India)
Punjab FC, Indian Super League (India)
